CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH,TRANSACTION_PENETRATION_BEFORE,TRANSACTION_PENETRATION_AFTER,TRANSACTION_PENETRATION_GROWTH,BUYER_PROMO_BEFORE,BUYER_PROMO_AFTER,BUYER_NON_PROMO_BEFORE,BUYER_NON_PROMO_AFTER,PROMO_SHARE_BEFORE,PROMO_SHARE_AFTER,NON_PROMO_SHARE_BEFORE,NON_PROMO_SHARE_AFTER
2011 - FAMILY MILK,MILK & DIAPERS,1.15,1.14,-0.0087,156.5,163.33,0.0436,1.43,1.61,0.1259,82206.0,83232.0,0.0125,117555.0,134004.0,0.1399,219.0,305.0,0.3927,0.0272,0.0297,0.0919,135.0,168.0,108.0,177.0,0.5556,0.487,0.4444,0.513
2012 - TEENS MILK,MILK & DIAPERS,1.22,1.36,0.1148,260.0,236.67,-0.0897,1.95,1.85,-0.0513,88865.0,97945.0,0.1022,173287.0,181198.0,0.0457,267.0,384.0,0.4382,0.0451,0.043,-0.0466,178.0,297.0,102.0,119.0,0.6357,0.7139,0.3643,0.2861
2013 - HI-CALCIUM MILK,MILK & DIAPERS,1.17,1.13,-0.0342,144.0,128.67,-0.1065,1.26,1.41,0.119,108873.0,116898.0,0.0737,137180.0,164826.0,0.2015,229.0,274.0,0.1965,0.025,0.0234,-0.064,144.0,239.0,104.0,61.0,0.5806,0.7967,0.4194,0.2033
2014 - TONIC MILK,MILK & DIAPERS,1.1,1.15,0.0455,20.5,17.33,-0.1546,2.41,1.53,-0.3651,92185.0,81525.0,-0.1156,222166.0,124733.0,-0.4386,17.0,34.0,1.0,0.0036,0.0031,-0.1389,9.0,12.0,11.0,23.0,0.45,0.3429,0.55,0.6571
2015 - DIETATIC MILK,MILK & DIAPERS,1.5,1.0,-0.3333,1.0,1.67,0.67,1.0,1.67,0.67,125250.0,89340.0,-0.2867,125250.0,149198.0,0.1912,2.0,3.0,0.5,0.0002,0.0003,0.5,2.0,2.0,0.0,2.0,1.0,0.5,0.0,0.5
2016 - DIABETIC MILK,MILK & DIAPERS,1.15,1.29,0.1217,20.0,25.0,0.25,1.54,1.6,0.039,96715.0,115517.0,0.1944,148941.0,184827.0,0.2409,26.0,47.0,0.8077,0.0035,0.0045,0.2857,18.0,24.0,12.0,26.0,0.6,0.48,0.4,0.52
2111 - INFANT MILK MAINSTREAM,MILK & DIAPERS,1.43,1.25,-0.1259,93.0,95.33,0.0251,1.79,2.23,0.2458,60081.0,59215.0,-0.0144,107545.0,132049.0,0.2278,104.0,128.0,0.2308,0.0161,0.0173,0.0745,0.0,0.0,104.0,128.0,0.0,0.0,1.0,1.0
2112 - INFANT MILK PREMIUM,MILK & DIAPERS,1.2,1.16,-0.0333,107.5,106.0,-0.014,2.13,2.54,0.1925,105223.0,103672.0,-0.0147,224125.0,263327.0,0.1749,101.0,125.0,0.2376,0.0187,0.0193,0.0321,0.0,0.0,101.0,125.0,0.0,0.0,1.0,1.0
2113 - INFANT MILK SUPER PREMIUM,MILK & DIAPERS,1.11,1.05,-0.0541,22.5,26.33,0.1702,2.25,2.26,0.0044,228736.0,196539.0,-0.1408,514656.0,444178.0,-0.1369,20.0,35.0,0.75,0.0039,0.0048,0.2308,0.0,0.0,20.0,35.0,0.0,0.0,1.0,1.0
2114 - FOLLOW ON MILK MAINSTREAM,MILK & DIAPERS,1.29,1.5,0.1628,120.5,108.0,-0.1037,2.34,2.4,0.0256,55880.0,58580.0,0.0483,130759.0,140592.0,0.0752,103.0,135.0,0.3107,0.0209,0.0196,-0.0622,0.0,0.0,103.0,135.0,0.0,0.0,1.0,1.0
