BRAND,SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
RITZ,2223C - CRACKER BISCUIT 100-180G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.16,1.3,0.1207,9.5,6.67,-0.2979,8684.0,9750.0,0.1228,17.0,18.0,0.0588
ROMA,2223C - CRACKER BISCUIT 100-180G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.2,1.23,0.025,659.5,657.33,-0.0033,12167.0,12536.0,0.0303,1099.0,1605.0,0.4604
WIN-WIN,2223C - CRACKER BISCUIT 100-180G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.0,,,0.5,,,18400.0,,,1.0,,
HATARI,2223D - CRACKER BISCUIT 200-260G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.2,1.19,-0.0083,355.0,380.67,0.0723,12242.0,12112.0,-0.0106,576.0,910.0,0.5799
KHONG GUAN,2223D - CRACKER BISCUIT 200-260G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.04,1.07,0.0288,202.0,165.67,-0.1799,13251.0,14181.0,0.0702,364.0,430.0,0.1813
NISSIN,2223D - CRACKER BISCUIT 200-260G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.07,1.08,0.0093,408.5,339.0,-0.1701,13469.0,13674.0,0.0152,713.0,859.0,0.2048
SERENA,2223D - CRACKER BISCUIT 200-260G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.29,1.08,-0.1628,3.5,4.33,0.2371,20857.0,17138.0,-0.1783,7.0,8.0,0.1429
UNIBIS,2223D - CRACKER BISCUIT 200-260G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.14,1.12,-0.0175,46.0,60.33,0.3115,12262.0,12241.0,-0.0017,79.0,145.0,0.8354
KHONG GUAN,2223E - CRACKER BISCUIT 300-400G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.15,1.1,-0.0435,96.5,90.67,-0.0604,21462.0,21406.0,-0.0026,151.0,211.0,0.3974
RITZ,2223E - CRACKER BISCUIT 300-400G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.18,1.19,0.0085,8.5,7.0,-0.1765,22524.0,21376.0,-0.051,17.0,18.0,0.0588
UBM,2223E - CRACKER BISCUIT 300-400G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.15,1.29,0.1217,97.0,137.67,0.4193,18911.0,20986.0,0.1097,164.0,345.0,1.1037
REGAL,2224A - MARIE BISCUIT 30-85G,2224 - MARIE BISCUIT,BISC & CONFECTIONARY,,1.13,,,37.67,,,14280.0,,,105.0,
ASIA,2224B - MARIE BISCUIT 100-190G,2224 - MARIE BISCUIT,BISC & CONFECTIONARY,1.25,1.2,-0.04,260.0,250.33,-0.0372,11544.0,11139.0,-0.0351,423.0,630.0,0.4894
