SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
3215A - HAIR STYLING CREAM,3215 - HAIR STYLING,PERSONAL CARE,1.01,1.01,0.0,89.0,100.67,0.1311,1.1,1.11,0.0091,33864.0,34282.0,0.0123,37250.0,38053.0,0.0216,162.0,273.0,0.6852
3215B - HAIR STYLING WAX,3215 - HAIR STYLING,PERSONAL CARE,1.0,1.0,0.0,12.0,10.33,-0.1392,1.04,1.15,0.1058,43604.0,29739.0,-0.318,45348.0,34200.0,-0.2458,23.0,27.0,0.1739
3215C - HAIR STYLING GEL,3215 - HAIR STYLING,PERSONAL CARE,1.0,1.0,0.0,32.5,31.33,-0.036,1.05,1.07,0.019,15765.0,15396.0,-0.0234,16553.0,16474.0,-0.0048,62.0,88.0,0.4194
3215D - HAIR STYLING SPRAY,3215 - HAIR STYLING,PERSONAL CARE,1.0,1.0,0.0,4.0,4.0,0.0,1.14,1.2,0.0526,36638.0,36583.0,-0.0015,41767.0,43900.0,0.0511,7.0,10.0,0.4286
3216A - HAIR COLOUR POWDER,3216 - HAIR COLOUR,PERSONAL CARE,1.06,1.0,-0.0566,8.5,8.0,-0.0588,1.0,1.0,0.0,25018.0,23779.0,-0.0495,25018.0,23779.0,-0.0495,17.0,24.0,0.4118
3216B - HAIR COLOUR PASTA,3216 - HAIR COLOUR,PERSONAL CARE,1.9,1.71,-0.1,271.0,272.67,0.0062,1.13,1.18,0.0442,38288.0,33868.0,-0.1154,43265.0,39964.0,-0.0763,480.0,692.0,0.4417
3216C - HAIR COLOUR SHAMPOO,3216 - HAIR COLOUR,PERSONAL CARE,1.24,1.41,0.1371,114.0,113.33,-0.0059,1.13,1.24,0.0973,19035.0,21510.0,0.13,21510.0,26672.0,0.24,201.0,274.0,0.3632
3217A - HAIR MASK,3217 - HAIR MASK,PERSONAL CARE,1.37,1.41,0.0292,220.5,231.0,0.0476,1.21,1.27,0.0496,15810.0,14874.0,-0.0592,19130.0,18890.0,-0.0125,365.0,546.0,0.4959
3218A - HAIR VITAMIN BLISTER,3218 - HAIR VITAMIN,PERSONAL CARE,1.15,1.2,0.0435,230.0,220.0,-0.0435,1.21,1.34,0.1074,15772.0,16645.0,0.0554,19084.0,22304.0,0.1687,379.0,493.0,0.3008
3218B - HAIR VITAMIN BOTTLE,3218 - HAIR VITAMIN,PERSONAL CARE,1.03,1.05,0.0194,103.0,89.67,-0.1294,1.07,1.08,0.0093,38302.0,40137.0,0.0479,40983.0,43348.0,0.0577,192.0,249.0,0.2969
3221A - BEAUTY BAR SOAP,3221 - BAR SOAP,PERSONAL CARE,1.73,1.72,-0.0058,323.0,284.67,-0.1187,1.19,1.27,0.0672,7104.0,7222.0,0.0166,8454.0,9172.0,0.0849,541.0,671.0,0.2403
3221B - HEALTHY BAR SOAP,3221 - BAR SOAP,PERSONAL CARE,1.33,1.28,-0.0376,143.0,135.67,-0.0513,1.1,1.19,0.0818,15134.0,15137.0,0.0002,16647.0,18013.0,0.0821,260.0,341.0,0.3115
3221D - BEAUTY BAR SOAP BANDED,3221 - BAR SOAP,PERSONAL CARE,1.1,1.07,-0.0273,254.0,231.33,-0.0893,1.14,1.26,0.1053,16892.0,16466.0,-0.0252,19257.0,20747.0,0.0774,444.0,552.0,0.2432
3221E - HEALTHY BAR SOAP BANDED,3221 - BAR SOAP,PERSONAL CARE,1.13,1.14,0.0088,376.5,371.67,-0.0128,1.17,1.23,0.0513,21941.0,22306.0,0.0166,25671.0,27436.0,0.0688,643.0,910.0,0.4152
3222B - BEAUTY LIQUID SOAP BTL 100-250ML,3222 - BEAUTY LIQUID SOAP,PERSONAL CARE,1.04,1.06,0.0192,112.0,94.0,-0.1607,1.05,1.05,0.0,20412.0,20178.0,-0.0115,21433.0,21187.0,-0.0115,214.0,269.0,0.257
3222D - BEAUTY LIQUID SOAP 300-600ML,3222 - BEAUTY LIQUID SOAP,PERSONAL CARE,1.37,1.41,0.0292,1716.5,1935.0,0.1273,1.3,1.46,0.1231,33182.0,33879.0,0.021,43137.0,49463.0,0.1466,2645.0,3974.0,0.5025
3222E - BEAUTY LIQUID SOAP 700 - 1000ML,3222 - BEAUTY LIQUID SOAP,PERSONAL CARE,1.22,1.15,-0.0574,132.5,207.67,0.5673,1.1,1.2,0.0909,53286.0,50931.0,-0.0442,58615.0,61117.0,0.0427,242.0,518.0,1.1405
3222F - BEAUTY LIQUID SOAP PUMP,3222 - BEAUTY LIQUID SOAP,PERSONAL CARE,1.56,1.91,0.2244,19.5,36.33,0.8631,1.03,1.14,0.1068,134390.0,130105.0,-0.0319,138422.0,148320.0,0.0715,38.0,96.0,1.5263
3223B - HEALTHY LIQUID SOAP BTL 100-250ML,3223 - HEALTHY LIQUID SOAP,PERSONAL CARE,1.07,1.04,-0.028,49.0,46.67,-0.0476,1.01,1.04,0.0297,17703.0,16667.0,-0.0585,17880.0,17334.0,-0.0305,97.0,135.0,0.3918
3223C - HEALTHY LIQUID SOAP REF 200-250ML,3223 - HEALTHY LIQUID SOAP,PERSONAL CARE,,3.0,,,0.33,,,1.0,,,101700.0,,,101700.0,,,1.0,
3223D - HEALTHY LIQUID SOAP 300-600ML,3223 - HEALTHY LIQUID SOAP,PERSONAL CARE,1.35,1.32,-0.0222,1493.0,1248.33,-0.1639,1.26,1.37,0.0873,31839.0,31211.0,-0.0197,40117.0,42759.0,0.0659,2374.0,2729.0,0.1495
3223E - ANTISEPTIC LIQUID,3223 - HEALTHY LIQUID SOAP,PERSONAL CARE,1.03,1.0,-0.0291,37.0,33.67,-0.09,1.06,1.19,0.1226,42065.0,45322.0,0.0774,44589.0,53933.0,0.2096,70.0,85.0,0.2143
3223F - HEALTHY LIQUID SOAP PUMP,3223 - HEALTHY LIQUID SOAP,PERSONAL CARE,1.0,1.0,0.0,9.0,12.67,0.4078,1.0,1.03,0.03,62611.0,60632.0,-0.0316,62611.0,62451.0,-0.0026,18.0,37.0,1.0556
3223G - HEALTHY LIQUID SOAP 700 - 1000ML,3223 - HEALTHY LIQUID SOAP,PERSONAL CARE,1.26,1.28,0.0159,368.0,331.67,-0.0987,1.19,1.25,0.0504,55030.0,56246.0,0.0221,65486.0,70308.0,0.0736,616.0,799.0,0.2971
3224A - FEMININ HYGIENE SOAP,3224 - FEMININ HYGIENE,PERSONAL CARE,1.04,1.03,-0.0096,149.5,146.0,-0.0234,1.12,1.2,0.0714,22242.0,22431.0,0.0085,24911.0,26917.0,0.0805,268.0,365.0,0.3619
3225A - HAND SOAP BOTTLE,3225 - HAND SOAP,PERSONAL CARE,1.33,1.65,0.2406,36.0,36.67,0.0186,1.04,1.04,0.0,29711.0,40559.0,0.3651,30899.0,42181.0,0.3651,69.0,106.0,0.5362
3225B - HAND SOAP REFFIL,3225 - HAND SOAP,PERSONAL CARE,1.53,1.62,0.0588,368.5,405.0,0.0991,1.26,1.43,0.1349,16893.0,17269.0,0.0223,21285.0,24695.0,0.1602,585.0,852.0,0.4564
3226A - MEN SOAP BOTTLE,3226 - MEN SOAP,PERSONAL CARE,1.0,1.0,0.0,1.5,0.67,-0.5533,1.0,1.0,0.0,26967.0,26900.0,-0.0025,26967.0,26900.0,-0.0025,3.0,2.0,-0.3333
3231A - WOMEN DEO ROLL ON,3231 - WOMEN DEO,PERSONAL CARE,1.2,1.22,0.0167,782.5,750.67,-0.0407,1.12,1.21,0.0804,24594.0,25070.0,0.0194,27545.0,30335.0,0.1013,1393.0,1860.0,0.3352
