SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
2343A - BAG CHEWING GUM 50-130G,2343 - BAG CHEWING GUM,MEJA KASIR,1.01,1.11,0.099,34.5,44.33,0.2849,1.23,1.17,-0.0488,15439.0,16566.0,0.073,18990.0,19382.0,0.0206,56.0,114.0,1.0357
3117A - KIDS VITAMINS BOTTLE,3117 - KIDS VITAMINS,MEJA KASIR,1.03,1.14,0.1068,90.5,113.0,0.2486,1.09,1.14,0.0459,32172.0,38580.0,0.1992,35067.0,43981.0,0.2542,166.0,298.0,0.7952
3117B - KIDS VITAMINS TABLET,3117 - KIDS VITAMINS,MEJA KASIR,1.16,1.17,0.0086,186.5,96.0,-0.4853,1.22,1.2,-0.0164,32488.0,32339.0,-0.0046,39635.0,38807.0,-0.0209,305.0,241.0,-0.2098
3117C - KIDS VITAMINS GUMMY,3117 - KIDS VITAMINS,MEJA KASIR,1.25,1.25,0.0,163.5,184.0,0.1254,1.22,1.24,0.0164,26200.0,23375.0,-0.1078,31964.0,28985.0,-0.0932,267.0,446.0,0.6704
3122A - PREGNANT TEST,3122 - PREGNANT TEST & CONTRACEPTION,MEJA KASIR,1.3,1.37,0.0538,146.0,164.33,0.1255,1.17,1.18,0.0085,17296.0,16842.0,-0.0262,20236.0,19874.0,-0.0179,249.0,418.0,0.6787
3122B - CONDOM,3122 - PREGNANT TEST & CONTRACEPTION,MEJA KASIR,1.16,1.16,0.0,487.0,511.67,0.0507,1.22,1.28,0.0492,28235.0,27005.0,-0.0436,34447.0,34566.0,0.0035,798.0,1195.0,0.4975
3122C - INTIMATE ENHANCEMENT,3122 - PREGNANT TEST & CONTRACEPTION,MEJA KASIR,1.04,1.07,0.0288,149.0,134.67,-0.0962,1.08,1.1,0.0185,30069.0,29096.0,-0.0324,32475.0,32006.0,-0.0144,277.0,367.0,0.3249
4111A - ALKALINE / LITHIUM,4111 - ALKALINE,MEJA KASIR,1.15,1.18,0.0261,349.0,328.67,-0.0583,1.06,1.06,0.0,40438.0,41316.0,0.0217,42864.0,43795.0,0.0217,658.0,932.0,0.4164
4112A - ZINC CARBON BULAT,4112 - ZINC CARBON,MEJA KASIR,1.16,1.15,-0.0086,638.0,649.67,0.0183,1.05,1.1,0.0476,20764.0,20610.0,-0.0074,21802.0,22671.0,0.0399,1215.0,1773.0,0.4593
4112B - ZINC CARBON KOTAK,4112 - ZINC CARBON,MEJA KASIR,1.25,1.07,-0.144,10.0,9.67,-0.033,1.0,1.0,0.0,25735.0,22034.0,-0.1438,25735.0,22034.0,-0.1438,20.0,29.0,0.45
4633A - LEISURE BAG,4633 - LEISURE BAG,MEJA KASIR,1.04,1.04,0.0,2384.5,2412.67,0.0118,1.31,1.43,0.0916,3951.0,3846.0,-0.0266,5176.0,5500.0,0.0626,3629.0,5066.0,0.396
