SECTION,CATEGORY,SUBCATEGORY,BRAND,SEGMENT_VALUE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_BEFORE,SPB_AFTER,SPB_BEFORE,SPT_AFTER,SPT_BEFORE,BUYER_COUNT_GROWTH,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_GROWTH,SPT_GROWTH,SPB_GROWTH,SEGMENT_TYPE,VERSI
BISC & CONFECTIONARY,2323 - BAG CANDY,2323A - BAG CANDY,MELTING SWEET,OTHERS,1.4,,1.67,,4.0,,1.25,,14875.0,,11900.0,,,,,,,,Packtype,V1
BISC & CONFECTIONARY,2323 - BAG CANDY,2323A - BAG CANDY,MENTOS,BAG,1.12,1.11,142.33,137.0,367.0,243.0,1.16,1.13,11811.0,11053.0,10182.0,9781.0,0.5103,0.009,0.0389,0.0265,0.041,0.0686,Packtype,V1
BISC & CONFECTIONARY,2323 - BAG CANDY,2323A - BAG CANDY,MILKITA,CAN,1.22,1.13,169.33,155.0,451.0,278.0,1.13,1.12,20426.0,17676.0,18076.0,15782.0,0.6223,0.0796,0.0925,0.0089,0.1454,0.1556,Packtype,V1
BISC & CONFECTIONARY,2323 - BAG CANDY,2323A - BAG CANDY,MINTZ,BAG,1.13,1.12,152.67,135.5,402.0,247.0,1.14,1.1,11318.0,10818.0,9928.0,9835.0,0.6275,0.0089,0.1267,0.0364,0.0095,0.0462,Packtype,V1
BISC & CONFECTIONARY,2323 - BAG CANDY,2323A - BAG CANDY,PARAGO,BAG,1.07,1.04,55.67,62.5,151.0,111.0,1.11,1.13,12618.0,12363.0,11368.0,10941.0,0.3604,0.0288,-0.1093,-0.0177,0.039,0.0206,Packtype,V1
BISC & CONFECTIONARY,2323 - BAG CANDY,2323A - BAG CANDY,PARAGO,OTHERS,2.2,1.67,5.0,10.5,15.0,17.0,1.0,1.24,12753.0,12193.0,12753.0,9833.0,-0.1176,0.3174,-0.5238,-0.1935,0.297,0.0459,Packtype,V1
BISC & CONFECTIONARY,2323 - BAG CANDY,2323A - BAG CANDY,RELAXA,BAG,1.06,1.05,126.0,174.5,332.0,321.0,1.14,1.09,10119.0,9279.0,8876.0,8513.0,0.0343,0.0095,-0.2779,0.0459,0.0426,0.0905,Packtype,V1
BISC & CONFECTIONARY,2323 - BAG CANDY,2323A - BAG CANDY,SUPER ZUPER,BAG,1.11,1.02,73.33,64.0,194.0,120.0,1.13,1.07,15116.0,12462.0,13377.0,11647.0,0.6167,0.0882,0.1458,0.0561,0.1485,0.213,Packtype,V1
BISC & CONFECTIONARY,2323 - BAG CANDY,2323A - BAG CANDY,TAMARIN,CAN,1.02,1.05,47.0,42.5,138.0,82.0,1.02,1.04,10839.0,11511.0,10626.0,11068.0,0.6829,-0.0286,0.1059,-0.0192,-0.0399,-0.0584,Packtype,V1
BISC & CONFECTIONARY,2323 - BAG CANDY,2323A - BAG CANDY,TEJAHE,OTHERS,2.71,1.78,13.67,4.5,32.0,9.0,1.28,1.0,26505.0,13333.0,20707.0,13333.0,2.5556,0.5225,2.0378,0.28,0.5531,0.9879,Packtype,V1
